#,Power Plant Type,COMPANY NAME,PROJECT NAME,Type ,City,Installed Capacity (MWm),Installed Capacity (MWe),Capacity Under Construction (Mwe),Service Capacity (Mwe),Longtitude,Latitude,Longtitude,Latitude,Coordinate Ref.
553,Hydropower Plant,GÜRSU TEMİZ ENERJİ ÜRETİM ANONİM ŞİRKETİ,Arca HPP,,TRABZON,17.58,16.35,16.35,0,40.936376,40.976209,,,
554,Hydropower Plant,BEREKET ENERJİ ÜRETİM ANONİM ŞİRKETİ,Gökyar HPP,,MUĞLA,11.628,10.95,0,10.95,554729.095502,"4,513,808",,,DSİ
555,Hydropower Plant,NUROL GÖKSU ELEKTRİK ÜRETİM  ANONİM ŞİRKETİ,Göksu HPP,,KONYA,11.04,10.8,0,10.8,32.684240,37.031062,,,
557,Hydropower Plant,BAYBURT ENERJİ ÜRETİM VE TİCARET ANONİM ŞİRKETİ,Yıldırım HPP,,BAYBURT,11.01,10.677,0,10.677,40.500412,40.191988,,,
558,Hydropower Plant,ALPEREN ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Dağbaşı HPP,,MERSİN,10.756,10.433,0.002000000000001,10.431,32.776337,36.316232,,,
559,Hydropower Plant,İDEAL ENERJİ ÜRETİMİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Karasu IV-2 HPP,,ERZİNCAN,10.92,10.35,0,10.35,1886973.66946,"4,647,582",,,DSİ
560,Hydropower Plant,BND ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Üçgen-2 Reg. ve HPP,,ORDU,10.476,10.318,0,10.318,37.972870,40.763901,,,
561,Hydropower Plant,TAYFURLAR ENERJİ ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Berdan HPP,,MERSİN,10.2,10.2,0,10.2,1079820.00839,"4,499,749",1080356.12379,4499607.13859,DSİ-HES
562,Hydropower Plant,MARTI ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Çay Reg. Ve HPP,,GİRESUN,10.439,10.049,0,10.049,819060.891713,4965116.38055,,,DSİ
563,Hydropower Plant,COŞKUN ELEKTRİK ÜRETİM LİMİTED ŞİRKETİ,Yeşilvadi HPP,,HATAY,10.3,9.98,0,9.98,-,-,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,"""",,,,
