"results__layerId","results__layerName","results__displayFieldName","results__value","results__attributes__OBJECTID","results__attributes__HES Adı","results__attributes__Kurum","results__attributes__Aşaması(seç)","results__attributes__Akarsu Adı","results__attributes__SHAPE","results__geometryType","results__geometry__x","results__geometry__y","results__geometry__spatialReference__wkid","results__geometry__spatialReference__latestWkid","exceededTransferLimit"
"25","İşletme Durumuna Göre HES","HES_ADI","Osmaniye Karaçay HES","413","Osmaniye Karaçay HES","Kamu","isletmede","Karaçay","Point","esriGeometryPoint","36.297543018500932","37.044457876031451","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Akçakoyun HES","403","Akçakoyun HES","Özel(Yap İşlet)","SKHA","Horu D.","Point","esriGeometryPoint","36.412586571078215","37.174082327724491","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Erem HES","392","Erem HES","Özel(Yap İşlet)","SKHA","Sulama Kanalı","Point","esriGeometryPoint","36.449903650669206","37.277739103352516","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Kalecik HES","380","Kalecik HES","Özel(Yap İşlet)","Ön rapor","Kalecik D.","Point","esriGeometryPoint","36.457942268456172","37.148298967303461","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Berke HES","398","Berke HES","Kamu","isletmede","Ceyhan N.","Point","esriGeometryPoint","36.467685014168872","37.374514345177552","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Gökgedik ","1439","Gökgedik","Özel(Yap İşlet Devret)","SKHA","Körsulu","Point","esriGeometryPoint","36.585598607273447","37.619273285872517","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Suat Uğurlu HES","459","Suat Uğurlu HES","Kamu","isletmede","Yeşilırmak","Point","esriGeometryPoint","36.66949041671333","41.07647563083458","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","S4ritaş","1444","S4ritaş","Özel(Yap İşlet Devret)","Fizibilite","Çermengeç Dere-Zeytinli Ç.","Point","esriGeometryPoint","36.765015310337333","37.887263706674929","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Zeytin","1425","Zeytin","Özel(Yap İşlet Devret)","SKHA","Zeytin D.","Point","esriGeometryPoint","36.793831993642833","37.798404839921226","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Köklüce HES","469","Köklüce HES","Kamu","isletmede","Yeşilırmak","Point","esriGeometryPoint","36.926646635493782","40.4936598887938","4326","4326",""
