layerId,layerName,displayFieldName,value,attributes__OBJECTID,attributes__HES Adı,attributes__Kurum,attributes__Aşaması(seç),attributes__Akarsu Adı,attributes__SHAPE,geometryType,geometry__x,geometry__y,geometry__spatialReference__wkid,geometry__spatialReference__latestWkid
25,İşletme Durumuna Göre HES,HES_ADI,Saman HES,1601,Saman HES,Kamu,FZB,Null,Point,esriGeometryPoint,39.5788208901472,40.7912711767848,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Hakis HES,334,Hakis HES,Özel(Yap İşlet Devret),SKHA,Hakis Ç.,Point,esriGeometryPoint,39.7847227315783,39.2244068719289,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,İftelan HES,806,İftelan HES,Kamu,FZB,Null,Point,esriGeometryPoint,39.8573609914646,40.7534240434081,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Palu HES,357,Palu HES,Kamu,"master plan, öninceleme",Null,Point,esriGeometryPoint,39.9136894379518,38.6808546307847,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Poyraz I-2 Regülatörü Ve HES,257,Poyraz I-2 Regülatörü Ve HES,Kamu,planlama,Fırat,Point,esriGeometryPoint,40.1552969747829,39.5769588956134,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Dibni Barajı Ve HES,942,Dibni Barajı Ve HES,Özel(Yap İşlet),Fizibilite,Null,Point,esriGeometryPoint,40.197140443608,38.4236999068396,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Dibni HES,976,Dibni HES,Kamu,"master plan, öninceleme",Dicle N.,Point,esriGeometryPoint,40.2033925247838,38.4460188187016,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Dicle Sahaban HES,937,Dicle Sahaban HES,Özel(Yap İşlet),On_Basvuru,Null,Point,esriGeometryPoint,40.2192807683371,38.1096394559876,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Derebaşı HES,732,Derebaşı HES,Kamu,FZB,Null,Point,esriGeometryPoint,40.2313378199136,40.5708284657028,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Çayırdüzü HES,214,Çayırdüzü HES,Kamu,planlama,Kırdım Ç.,Point,esriGeometryPoint,40.2334095019203,39.647119163832,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Dicle I HES,373,Dicle I HES,Özel(Yap İşlet),Fizibilite,Null,Point,esriGeometryPoint,40.2397513069821,38.0000075694717,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Niksar HES,420,Niksar HES,Özel(Yap İşlet),SKHA,Kelkit,Point,esriGeometryPoint,36.9905045208545,40.4846646439948,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Çakmak-1,154,Çakmak-1,Özel(Yap İşlet),Fizibilite,Söğütlübuynu D.,Point,esriGeometryPoint,36.9925985735305,37.8572875076894,4326,4326
