results/layerId,results/layerName,results/displayFieldName,results/value,results/attributes/OBJECTID,results/attributes/HES Adı,results/attributes/Kurum,results/attributes/Aşaması(seç),results/attributes/Akarsu Adı,results/attributes/SHAPE,results/geometryType,results/geometry/x,results/geometry/y,results/geometry/spatialReference/wkid,results/geometry/spatialReference/latestWkid
25,İşletme Durumuna Göre HES,HES_ADI,Güvez HES,1669,Güvez HES,,Null,Eşençay,Point,esriGeometryPoint,29.750224720204073,36.934250373760825,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Dereköy HES,1044,Dereköy HES,Kamu,FZB,Alakır Ç.,Point,esriGeometryPoint,30.310818001012834,36.58169570870223,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Aksu Çayköy HES,1362,Aksu Çayköy HES,Özel(Yap İşlet Devret),IS,Aksu Ç.,Point,esriGeometryPoint,30.715259388733248,37.79736156438347,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Beyköy HES,533,Beyköy HES,Özel(Yap İşlet),Isletmede,Sakarya N.,Point,esriGeometryPoint,30.766717292974946,40.08126761643351,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Kovada -3 HES,1385,Kovada -3 HES,Özel(Yap İşlet),IH,Kovada Ç.,Point,esriGeometryPoint,30.794328308683404,37.56256712460592,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Gökböğet Regülatörü Ve HES,1365,Gökböğet Regülatörü Ve HES,Özel(Yap İşlet),PL,Gökpınar Ç.,Point,esriGeometryPoint,30.87152537719666,37.56484801269718,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Çürükiçi Regülatörü Ve HES,1370,Çürükiçi Regülatörü Ve HES,Özel(Yap İşlet),PL,Yazılı Dere,Point,esriGeometryPoint,30.910442880170585,37.462026467353375,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Kucuk Aksu Barajı Ve HES,1032,Kucuk Aksu Barajı Ve HES,Kamu,Null,Küçükaksu Ç.,Point,esriGeometryPoint,30.957946984569496,37.15772822998162,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Muratlı,586,Muratlı,Kamu,1,Mudurnu Ç.,Point,esriGeometryPoint,31.034614909120226,40.53073034918719,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Kasımlar Barajı Ve HES,1372,Kasımlar Barajı Ve HES,Özel(Yap İşlet),PL,Köprüçay,Point,esriGeometryPoint,31.20155237996869,37.521526093549916,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Kayın,4,Kayın,Kamu,4,Samandere,Point,esriGeometryPoint,31.258784246521735,40.68745373799574,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Manavgat,1035,Manavgat,Özel(Yap İşlet),Null,Manavgat Ç.,Point,esriGeometryPoint,31.50927271753574,36.84050011111692,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Sinanhoca Reg Ve HES,1086,Sinanhoca Reg Ve HES,Kamu,Null,Manavgat Ç.,Point,esriGeometryPoint,31.584473505166894,36.95630657287584,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Kirazlıköprü HES,904,Kirazlıköprü HES,Özel(Yap İşlet),Ön rapor,Null,Point,esriGeometryPoint,31.623230866250374,41.24228011612667,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Alarahan,1025,Alarahan,Kamu,Null,Alara Ç.,Point,esriGeometryPoint,31.72752176613813,36.701393615983264,4326,4326
