results/layerId,results/layerName,results/displayFieldName,results/value,results/attributes/OBJECTID,results/attributes/HES Adı,results/attributes/Kurum,results/attributes/Aşaması(seç),results/attributes/Akarsu Adı,results/attributes/SHAPE,results/geometryType,results/geometry/x,results/geometry/y,results/geometry/spatialReference/wkid,results/geometry/spatialReference/latestWkid
25,İşletme Durumuna Göre HES,HES_ADI,Tayfun,1417,Tayfun,Özel(Yap İşlet Devret),Isletmede,Keşiş Ç.,Point,esriGeometryPoint,36.257865416510114,37.42477801535697,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Aslantaş HES,404,Aslantaş HES,Kamu,isletmede,Ceyhan N.,Point,esriGeometryPoint,36.27440529444772,37.270661254983125,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Sabunsuyu -2 HES,397,Sabunsuyu -2 HES,Kamu,proje,Sabunsuyu D.,Point,esriGeometryPoint,36.361093039061764,37.31261334669509,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Aktürkmen,1442,Aktürkmen,Özel(Yap İşlet Devret),Fizibilite,Hüseyinli D.,Point,esriGeometryPoint,36.459079788733085,38.09894531127579,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Aşağı Fırnıs ,1445,Aşağı Fırnıs,Özel(Yap İşlet),Fizibilite,Fırnıs D.,Point,esriGeometryPoint,36.64136876167254,37.76187437258159,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Sisne ,1443,Sisne,Özel(Yap İşlet Devret),Fizibilite,Çemrengeç Dere,Point,esriGeometryPoint,36.73709391048594,37.904651900143115,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Şehitlik  ,1446,Şehitlik,Özel(Yap İşlet),Fizibilite,Dağlıağaç Ve Yoğunkamalak D.,Point,esriGeometryPoint,36.829692058853055,37.87456258733975,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Niksar HES,420,Niksar HES,Özel(Yap İşlet),SKHA,Kelkit,Point,esriGeometryPoint,36.99050452085446,40.48466464399478,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Çakmak-1,154,Çakmak-1,Özel(Yap İşlet),Fizibilite,Söğütlübuynu D.,Point,esriGeometryPoint,36.992598573530515,37.85728750768937,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Dağdelen ,1457,Dağdelen,Özel(Yap İşlet Devret),SKHA,Ceyhan N.,Point,esriGeometryPoint,37.007559061585,38.11182629240197,4326,4326
