"layerId","layerName","displayFieldName","value","attributes__OBJECTID","attributes__HES Adı","attributes__Kurum","attributes__Aşaması(seç)","attributes__Akarsu Adı","attributes__SHAPE","geometryType","geometry__x","geometry__y","geometry__spatialReference__wkid","geometry__spatialReference__latestWkid"
"25","İşletme Durumuna Göre HES","HES_ADI","Tuğra--3 HES","1535","Tuğra--3 HES","Kamu","insa halinde","Karaovacık","Point","esriGeometryPoint","38.825605540635394","40.753641605952787","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Tuğra-2 HES","1534","Tuğra-2 HES","Kamu","insa halinde","Karaovacık","Point","esriGeometryPoint","38.835498542529244","40.705009639619654","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Çanakçı-2 HES","748","Çanakçı-2 HES","Kamu","FZB","Null","Point","esriGeometryPoint","39.007836713425412","40.935435958473171","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Karlıtepe HES","785","Karlıtepe HES","Kamu","fzb","Null","Point","esriGeometryPoint","39.013553971004512","40.50299367173664","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Kartaltaşı HES","294","Kartaltaşı HES","Özel(Yap İşlet Devret)","Ön rapor","Kaman Ç.","Point","esriGeometryPoint","39.105439747954414","38.199403233329541","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Büyükdüz HES","1596","Büyükdüz HES","Kamu","FZB","Null","Point","esriGeometryPoint","39.105684074245161","40.621714790538732","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Miraç","1424","Miraç","Özel(Yap İşlet Devret)","Fizibilite","Yenibardak Ç.","Point","esriGeometryPoint","39.162433173741512","38.182625424999941","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Çanakçı HES","755","Çanakçı HES","Kamu","Başvuru","Null","Point","esriGeometryPoint","39.342242180555594","40.953252308663274","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Yaylabaşı HES","751","Yaylabaşı HES","Kamu","FZB","Null","Point","esriGeometryPoint","39.507796423482624","40.792375363763583","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Söğüt HES","800","Söğüt HES","Kamu","Ön Başvuru","Null","Point","esriGeometryPoint","39.534630097473794","40.973784764204652","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Sedir HES","801","Sedir HES","Kamu","Ön Başvuru","Null","Point","esriGeometryPoint","39.594557341109123","41.01081569223274","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Pülümür HES","372","Pülümür HES","Kamu","planlama","Pülümür Ç.","Point","esriGeometryPoint","39.611664684411537","39.107495966889893","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Yeniköy HES","1603","Yeniköy HES","Kamu","Null","Null","Point","esriGeometryPoint","39.68746643378023","40.860301979597381","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Cinali HES","685","Cinali HES","Kamu","SKHA","Null","Point","esriGeometryPoint","39.690652251871818","40.836656184498615","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Üzümlü HES","254","Üzümlü HES","Kamu","planlama","Üzümlü","Point","esriGeometryPoint","39.711153137079449","39.714409858910827","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Haskar HES","330","Haskar HES","Özel(Yap İşlet Devret)","Fizibilite","Sal D. Pülümür Ç.","Point","esriGeometryPoint","39.785634410809159","39.363908054871615","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Berrak-I HES","1539","Berrak-I HES","Özel(Yap İşlet Devret)","Insa Halinde","Yanbolu","Point","esriGeometryPoint","39.806232502991946","40.65974605092687","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Kuşluk HES","705","Kuşluk HES","Kamu","Başvuru","Null","Point","esriGeometryPoint","39.88731750352175","40.605685359088376","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Araklı-I HES","1540","Araklı-I HES","Özel(Yap İşlet Devret)","Insa Halinde","Horten D.","Point","esriGeometryPoint","39.994371606405238","40.683052412895954","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Kralkızı HES","977","Kralkızı HES","Kamu","isletmede","Dicle N.","Point","esriGeometryPoint","40.019892209711223","38.347363857254607","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Çınar HES","795","Çınar HES","Kamu","Ön Başvuru","Null","Point","esriGeometryPoint","40.168663766012173","40.572779813763816","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Atm-I HES","846","Atm-I HES","Kamu","SKHA","Null","Point","esriGeometryPoint","40.20815233628489","40.608794938167648","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Ilıca HES","337","Ilıca HES","Özel(Yap İşlet Devret)","Fizibilite","Küçük Çay","Point","esriGeometryPoint","40.282944447118268","39.238119803322938","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Gökçe HES","317","Gökçe HES","Özel(Yap İşlet Devret)","SKHA","Gayt Barajı Savaklarından","Point","esriGeometryPoint","40.335442161833789","38.956764198533158","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Uzuntepe  ","159","Uzuntepe","Özel(Yap İşlet Devret)","Fizibilite","Nergile Ç.","Point","esriGeometryPoint","37.170247297090093","38.019588297827838","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Kayacık HES","467","Kayacık HES","Özel(Yap İşlet)","Fizibilite","Cevizdere","Point","esriGeometryPoint","37.177850464358734","40.948606997795991","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Teleme ","1428","Teleme","Özel(Yap İşlet Devret)","Fizibilite","Göksu N.","Point","esriGeometryPoint","37.31243355726054","37.880475453353768","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Başköy HES","460","Başköy HES","Özel(Yap İşlet)","Fizibilite","Cevizdere","Point","esriGeometryPoint","37.320352818957801","41.078913635998653","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Aksu","160","Aksu","Özel(Yap İşlet)","Fizibilite","Aksu Ç.","Point","esriGeometryPoint","37.429537288210895","37.714983041810449","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Söğütlü   ","1452","Söğütlü","Özel(Yap İşlet)","Fizibilite","Söğütlübuynu D.","Point","esriGeometryPoint","37.526806365474471","38.255596572523672","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Sofular HES","301","Sofular HES","Özel(Yap İşlet Devret)","SKHA","Tohma Ç.","Point","esriGeometryPoint","37.572852248094144","38.918190620525657","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Kantarma","1441","Kantarma","Özel(Yap İşlet Devret)","Fizibilite","Söğütlü Ç.","Point","esriGeometryPoint","37.580640962918842","38.199485599519043","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Boyalı HES","145","Boyalı HES","Özel(Yap İşlet)","SKHA","Null","Point","esriGeometryPoint","37.599345940640958","40.220498422064942","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Koyulhisar HES","430","Koyulhisar HES","Özel(Yap İşlet)","SKHA","Kelkit","Point","esriGeometryPoint","37.68697472696217","40.310549853525245","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Topçam HES","429","Topçam HES","Kamu","insa halinde","Melet","Point","esriGeometryPoint","37.794846828032505","40.655680692411508","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Kuşkonmaz HES","364","Kuşkonmaz HES","Özel(Yap İşlet Devret)","Fizibilite","Tohma Ç.","Point","esriGeometryPoint","37.946430600301518","38.52942325502012","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Mursal-1 HES","153","Mursal-1 HES","Özel(Yap İşlet)","SKHA","Nih Ç.","Point","esriGeometryPoint","37.986785170473738","39.23559334819879","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Ahiköy I HES","1394","Ahiköy I HES","Kamu","isletmede","Nih Ç.","Point","esriGeometryPoint","38.061750851458555","39.314911933884062","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Serpin HES","663","Serpin HES","Kamu","FZB","Null","Point","esriGeometryPoint","38.076101271745721","40.65394550728103","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Kızılev HES","1560","Kızılev HES","Kamu","FZB","Null","Point","esriGeometryPoint","38.093034107948036","40.690699291792924","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Ören HES","772","Ören HES","Kamu","SKHA","Null","Point","esriGeometryPoint","38.107312190608617","40.727709741325583","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Tohma HES","340","Tohma HES","Özel(Yap İşlet Devret)","Isletmede","Tohma Ç.","Point","esriGeometryPoint","38.116387093639517","38.524747984897424","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Akın HES","808","Akın HES","Kamu","Ön Başvuru","Null","Point","esriGeometryPoint","38.11955746436481","40.732395491122332","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Kılıçkaya HES","869","Kılıçkaya HES","Kamu","isletmede","Null","Point","esriGeometryPoint","38.191133436148135","40.241399892497945","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Kınık HES","295","Kınık HES","Özel(Yap İşlet Devret)","Fizibilite","Cevizli Ç.","Point","esriGeometryPoint","38.205055655701123","39.017196268295564","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Paşalı HES","809","Paşalı HES","Kamu","Ön Başvuru","Null","Point","esriGeometryPoint","38.220739285147374","40.559705344464057","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Yoncalı HES","336","Yoncalı HES","Özel(Yap İşlet Devret)","Fizibilite","Taş Köprü","Point","esriGeometryPoint","38.343749262960877","39.064244451791154","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Yüce HES","1515","Yüce HES","Kamu","FZB","Null","Point","esriGeometryPoint","38.438282746775137","40.692679664335955","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Barca HES","841","Barca HES","Kamu","Ön Başvuru","Null","Point","esriGeometryPoint","38.441626231162353","40.903244853988703","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Küçük HES","186","Küçük HES","Kamu","planlama","Kuru D.","Point","esriGeometryPoint","38.462805444380265","39.651363591042255","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Aydın HES","195","Aydın HES","Kamu","master plan, öninceleme","Karabudak D.","Point","esriGeometryPoint","38.468375082819435","39.766906118552861","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Beypınar HES","1398","Beypınar HES","Özel(Yap İşlet)","Isletmede","S4 Sulama Kanalı","Point","esriGeometryPoint","38.498110581525147","40.088587703201043","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Sümer HES","678","Sümer HES","Kamu","FZB","Null","Point","esriGeometryPoint","38.537892559349956","40.345017624801137","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Mengel HES","309","Mengel HES","Özel(Yap İşlet Devret)","Fizibilite","Fındık Ç.","Point","esriGeometryPoint","38.585323434720934","38.143255994312973","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Koçak HES","706","Koçak HES","Kamu","Başvuru","Null","Point","esriGeometryPoint","38.610054270789391","40.132617847263298","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Moran HES","639","Moran HES","Kamu","FZB","Null","Point","esriGeometryPoint","38.737094107724829","40.363637585558322","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Oba","1475","Oba","Özel(Yap İşlet Devret)","Fizibilite","Kahta Ç.,Büyükçay","Point","esriGeometryPoint","38.771481486954613","38.035135392775501","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Ahallı HES","765","Ahallı HES","Kamu","Başvuru","Null","Point","esriGeometryPoint","38.795955005090264","40.79142621260835","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Şanlıurfa HES","1101","Şanlıurfa HES","Kamu","isletmede","Ana İsale Kanalı","Point","esriGeometryPoint","38.848666855814201","37.161440093842693","4326","4326"
